"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 09 11:43:37 EST 2024","Tue Jan 09 11:43:37 EST 2024","369","","Array feature","","The user is able to navigate to Question page from Find Numbers with Even Number of Digits","","The user is able to navigate to Question page from Find Numbers with Even Number of Digits",""
"passed","Tue Jan 09 11:43:27 EST 2024","Tue Jan 09 11:43:30 EST 2024","3062","","Array feature","","The user is able to submit code in tryEditor for Search the array link","","The user is able to submit code in tryEditor for Search the array link",""
"passed","Tue Jan 09 11:44:28 EST 2024","Tue Jan 09 11:44:29 EST 2024","419","","User tests the Tree page on the Ds algo application","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Tue Jan 09 11:43:58 EST 2024","Tue Jan 09 11:43:58 EST 2024","480","","Testing LinkedList page","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Tue Jan 09 11:43:48 EST 2024","Tue Jan 09 11:43:49 EST 2024","722","","Testing LinkedList page","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 09 11:44:08 EST 2024","Tue Jan 09 11:44:09 EST 2024","536","","Stack: Luanch the DS-Algo portal and test Stack module","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 09 11:42:45 EST 2024","Tue Jan 09 11:42:46 EST 2024","628","","Validating Register page","","The user is presented with error message for empty fields below confirm Password textbox","","The user is presented with error message for empty fields below confirm Password textbox",""
"passed","Tue Jan 09 11:42:16 EST 2024","Tue Jan 09 11:42:19 EST 2024","3502","","User launch dsalgo application and test Home page","","User is on Home page and click on dropdown ""Arrays"" without sign in","","User is on Home page and click on dropdown ""Arrays"" without sign in",""
"passed","Tue Jan 09 11:44:40 EST 2024","Tue Jan 09 11:44:40 EST 2024","562","","User tests the Tree page on the Ds algo application","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 09 11:44:46 EST 2024","Tue Jan 09 11:44:46 EST 2024","399","","User tests the Tree page on the Ds algo application","","The user is able to navigate to a page having an tryEditor from Binary Search Trees Page","","The user is able to navigate to a page having an tryEditor from Binary Search Trees Page",""
"passed","Tue Jan 09 11:44:32 EST 2024","Tue Jan 09 11:44:32 EST 2024","446","","User tests the Tree page on the Ds algo application","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Tue Jan 09 11:44:48 EST 2024","Tue Jan 09 11:44:49 EST 2024","390","","User tests the Tree page on the Ds algo application","","The user is able to navigate to a page having an tryEditor from Implementation Of BST Page","","The user is able to navigate to a page having an tryEditor from Implementation Of BST Page",""
"passed","Tue Jan 09 11:44:00 EST 2024","Tue Jan 09 11:44:01 EST 2024","384","","Testing LinkedList page","","user navigated to ""Deletion"" page","","user navigated to ""Deletion"" page",""
"passed","Tue Jan 09 11:44:09 EST 2024","Tue Jan 09 11:44:10 EST 2024","735","","Stack: Luanch the DS-Algo portal and test Stack module","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Tue Jan 09 11:42:47 EST 2024","Tue Jan 09 11:42:48 EST 2024","1003","","Validating Register page","","The user is presented with error message for password mismatch","","The user is presented with error message for password mismatch",""
"passed","Tue Jan 09 11:44:03 EST 2024","Tue Jan 09 11:44:03 EST 2024","735","","Stack: Luanch the DS-Algo portal and test Stack module","","The user is logged in to DS Algo portal","","The user is logged in to DS Algo portal",""
"passed","Tue Jan 09 11:42:45 EST 2024","Tue Jan 09 11:42:45 EST 2024","592","","Validating Register page","","The user is presented with error message for empty fields below Password textbox","","The user is presented with error message for empty fields below Password textbox",""
"passed","Tue Jan 09 11:44:31 EST 2024","Tue Jan 09 11:44:31 EST 2024","280","","User tests the Tree page on the Ds algo application","","The user is able to navigate to a page having an tryEditor from Traversals-Illustration Page","","The user is able to navigate to a page having an tryEditor from Traversals-Illustration Page",""
"passed","Tue Jan 09 11:44:49 EST 2024","Tue Jan 09 11:44:49 EST 2024","555","","User tests the Tree page on the Ds algo application","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 09 11:43:10 EST 2024","Tue Jan 09 11:43:11 EST 2024","1422","","DataStructures-Introduction feature","","The user is able to click and navigate to Practice Questions","","The user is able to click and navigate to Practice Questions",""
"passed","Tue Jan 09 11:44:38 EST 2024","Tue Jan 09 11:44:38 EST 2024","299","","User tests the Tree page on the Ds algo application","","The user is able to navigate to a page having an tryEditor from Implementation in Python Page","","The user is able to navigate to a page having an tryEditor from Implementation in Python Page",""
"passed","Tue Jan 09 11:42:12 EST 2024","Tue Jan 09 11:42:16 EST 2024","3374","","User launch dsalgo application and test Home page","","User is on Home page and click getstarted link ""Graph"" on home page without sign in","","User is on Home page and click getstarted link ""Graph"" on home page without sign in",""
"passed","Tue Jan 09 11:44:15 EST 2024","Tue Jan 09 11:44:16 EST 2024","431","","Queue feature","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Tue Jan 09 11:44:41 EST 2024","Tue Jan 09 11:44:42 EST 2024","464","","User tests the Tree page on the Ds algo application","","The user is able to navigate to a page having an tryEditor from Implementation of Binary Trees Page","","The user is able to navigate to a page having an tryEditor from Implementation of Binary Trees Page",""
"passed","Tue Jan 09 11:44:19 EST 2024","Tue Jan 09 11:44:20 EST 2024","684","","Queue feature","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 09 11:43:20 EST 2024","Tue Jan 09 11:43:20 EST 2024","566","","Array feature","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Tue Jan 09 11:43:46 EST 2024","Tue Jan 09 11:43:47 EST 2024","782","","Testing LinkedList page","","The user is logged in to DS Algo portal","","The user is logged in to DS Algo portal",""
"passed","Tue Jan 09 11:43:15 EST 2024","Tue Jan 09 11:43:17 EST 2024","1368","","Array feature","","Navigating Arrays Using List page","","Navigating Arrays Using List page",""
"passed","Tue Jan 09 11:43:53 EST 2024","Tue Jan 09 11:43:54 EST 2024","373","","Testing LinkedList page","","user navigated to ""Implementation linked list in python"" page","","user navigated to ""Implementation linked list in python"" page",""
"passed","Tue Jan 09 11:44:17 EST 2024","Tue Jan 09 11:44:17 EST 2024","855","","Queue feature","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 09 11:43:56 EST 2024","Tue Jan 09 11:43:57 EST 2024","804","","Testing LinkedList page","","User navigated to tryEditor page with Run button from Traversal page","","User navigated to tryEditor page with Run button from Traversal page",""
"passed","Tue Jan 09 11:44:33 EST 2024","Tue Jan 09 11:44:34 EST 2024","661","","User tests the Tree page on the Ds algo application","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 09 11:43:44 EST 2024","Tue Jan 09 11:43:46 EST 2024","2198","","Array feature","","The user is able to submit code in tryEditor for Squares of a Sorted Array","","The user is able to submit code in tryEditor for Squares of a Sorted Array",""
"passed","Tue Jan 09 11:43:53 EST 2024","Tue Jan 09 11:43:53 EST 2024","435","","Testing LinkedList page","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Tue Jan 09 11:43:06 EST 2024","Tue Jan 09 11:43:09 EST 2024","3152","","DataStructures-Introduction feature","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 09 11:43:37 EST 2024","Tue Jan 09 11:43:39 EST 2024","1590","","Array feature","","The user is able to run code in tryEditor for Find Numbers with Even Number of Digits","","The user is able to run code in tryEditor for Find Numbers with Even Number of Digits",""
"passed","Tue Jan 09 11:44:05 EST 2024","Tue Jan 09 11:44:05 EST 2024","505","","Stack: Luanch the DS-Algo portal and test Stack module","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 09 11:44:20 EST 2024","Tue Jan 09 11:44:20 EST 2024","446","","Queue feature","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Tue Jan 09 11:42:09 EST 2024","Tue Jan 09 11:42:12 EST 2024","3527","","User launch dsalgo application and test Home page","","User is on Home page and click getstarted link ""Tree"" on home page without sign in","","User is on Home page and click getstarted link ""Tree"" on home page without sign in",""
"passed","Tue Jan 09 11:42:49 EST 2024","Tue Jan 09 11:42:51 EST 2024","1260","","Validating Register page","","The user is presented with error message for password with only numbers","","The user is presented with error message for password with only numbers",""
"passed","Tue Jan 09 11:44:10 EST 2024","Tue Jan 09 11:44:11 EST 2024","945","","Queue feature","","The user is logged in to DS Algo portal","","The user is logged in to DS Algo portal",""
"passed","Tue Jan 09 11:44:25 EST 2024","Tue Jan 09 11:44:25 EST 2024","420","","User tests the Tree page on the Ds algo application","","The user is able to navigate to ""Terminologies"" Page","","The user is able to navigate to ""Terminologies"" Page",""
"passed","Tue Jan 09 11:44:38 EST 2024","Tue Jan 09 11:44:39 EST 2024","398","","User tests the Tree page on the Ds algo application","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Tue Jan 09 11:43:49 EST 2024","Tue Jan 09 11:43:49 EST 2024","452","","Testing LinkedList page","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
